step,system_mean_speed,0_average_speed,0_queue_length
509.0,"(8.406621978834957,)",0.3838598805128092,7
511.0,"(7.247611344202195,)",0.3293971061257542,9
512.0,"(6.880894645627028,)",0.3147895203207442,9
513.0,"(5.57231472787517,)",0.25541960716168266,14
514.0,"(5.399947546075734,)",0.24902572796953604,10
515.0,"(4.692193700818121,)",0.22138242062627816,8
516.0,"(4.807766947703469,)",0.23036667576479514,9
517.0,"(4.7917182989442315,)",0.23138443361047795,11
518.0,"(5.461855953395942,)",0.271603198285644,8
519.0,"(6.268387618987636,)",0.29805354355764496,8
521.0,"(6.946233883844011,)",0.3345748093866651,10
522.0,"(6.822159963050548,)",0.340872256934225,12
523.0,"(7.46920872249609,)",0.37243275078684107,11
524.0,"(7.6406721494036995,)",0.35712090844912514,11
525.0,"(8.359053766236919,)",0.39052980088935224,11
526.0,"(9.028843513555392,)",0.4222585316924144,11
527.0,"(8.847763877498227,)",0.4152751137029285,11
528.0,"(8.516440096858577,)",0.40725328399898064,11
529.0,"(6.886256185422256,)",0.32869003046224626,15
531.0,"(6.677117843471783,)",0.31789526794528705,7
532.0,"(7.2675351849624885,)",0.34199982465033824,7
533.0,"(8.072749512626133,)",0.37737876843504786,7
534.0,"(8.764530415606762,)",0.40752275839145236,7
535.0,"(9.496745693518054,)",0.4385547638963066,7
536.0,"(10.136223619014972,)",0.4659636426351198,8
537.0,"(10.293742718466277,)",0.4744916945147661,8
538.0,"(10.68692232470332,)",0.4924631552941797,8
539.0,"(9.94870469580175,)",0.45843103297732485,9
541.0,"(8.577176782288264,)",0.39223316738010705,13
542.0,"(8.063975705555691,)",0.3688358957520625,9
543.0,"(7.828328906491374,)",0.3603757206789444,9
544.0,"(6.0318522406497355,)",0.26723606333489736,8
545.0,"(5.603812888567717,)",0.2497001736642887,8
546.0,"(6.0989192421946825,)",0.2741441418227454,6
547.0,"(6.730231597944466,)",0.304324658832862,6
548.0,"(7.647843488674019,)",0.34783151163472753,5
549.0,"(8.22388756023395,)",0.37561300501071443,6
551.0,"(10.18985280701317,)",0.4668735324356664,5
552.0,"(11.09286877069179,)",0.5098320223573226,5
553.0,"(11.137206535290026,)",0.5250286243566354,6
554.0,"(11.668757198413624,)",0.5514738810330833,6
555.0,"(11.24896225481654,)",0.5333585831882973,7
556.0,"(11.144371064958175,)",0.530287086313454,7
557.0,"(10.387440505671192,)",0.49856777631223503,7
558.0,"(10.01872699803822,)",0.48830332112982294,5
559.0,"(9.236517296114378,)",0.46363315592137166,4
561.0,"(6.886701936663144,)",0.32973835530582873,8
562.0,"(6.3442850962079165,)",0.3185855968047038,4
563.0,"(6.490985115384286,)",0.3261833589189241,4
564.0,"(6.64125445406531,)",0.3396479125555993,6
565.0,"(6.32954570447538,)",0.3353792850784677,8
566.0,"(6.6303603551894525,)",0.33322095082999353,5
567.0,"(6.358828281256192,)",0.3291290891381623,5
568.0,"(6.7368079367484714,)",0.3443870517990734,8
